Tag_Number,Species_Co,Latin_Name,Species_1,Buil_Vinta,Azimuth,Dist_to_Bu,Sun
684,PRSE13,Prunus serotina,Black Cherry,1950-1980,360,4,Partial
685,PRSE14,Prunus serotina,Black Cherry,1950-1980,360,4,Shade
692,QUAL,Quercus alba,White Oak,1950-1980,90,4,Partial
693,QUAL,Quercus alba,White Oak,1950-1980,90,10,Partial
691,QURU,Quercus rubra,Red Oak,,270,21,Partial
710,PIPU,Picea pungens,Blue Spruce,1950-1980,90,4,Partial
712,QUAL,Quercus alba,White Oak,1950-1980,90,15,Partial
720,QUAL,Quercus alba,White Oak,1950-1980,90,15,Partial
719,QURU,Quercus rubra,Red Oak,1950-1980,90,15,Partial
709,QURU,Quercus rubra,Red Oak,1950-1980,90,15,Partial
708,QURU,Quercus rubra,Red Oak,1950-1980,90,15,Partial
704,QURU,Quercus rubra,Red Oak,1950-1980,90,15,Partial
705,CAOV,Carya ovata,Shagbark Hickory,1950-1980,90,15,Partial
707,CAOV,Carya ovata,Shagbark Hickory,,90,21,Partial
706,QUAL,Quercus alba,White Oak,,90,21,Partial
717,QURU,Quercus rubra,Red Oak,,90,21,Partial
676,THOC,Thuja occidentalis,Northern White Cedar,1950-1980,270,10,Partial
714,QURU,Quercus rubra,Red Oak,,90,21,Partial
715,QUAL,Quercus alba,White Oak,,270,21,Partial
733,QURU,Quercus rubra,Red Oak,,90,21,Partial
732,QURU,Quercus rubra,Red Oak,,90,21,Partial
731,QURU,Quercus rubra,Red Oak,,270,21,Partial
730,CAOV,Carya ovata,Shagbark Hickory,,270,21,Partial
729,QURU,Quercus rubra,Red Oak,,270,21,Partial
728,QUAL,Quercus alba,White Oak,,270,21,Partial
727,QUAL,Quercus alba,White Oak,,270,21,Partial
726,CAOV,Carya ovata,Shagbark Hickory,,270,21,Partial
725,CAOV,Carya ovata,Shagbark Hickory,,270,21,Partial
724,QURU,Quercus rubra,Red Oak,,270,21,Partial
723,CAOV,Carya ovata,Shagbark Hickory,,270,21,Partial
722,QURU,Quercus rubra,Red Oak,,270,21,Partial
721,QURU,Quercus rubra,Red Oak,,270,21,Partial
694,FAGR,Fagus grandifolia,American Beech,Before 1950,180,15,Partial
695,QUAL,Quercus alba,White Oak,,180,21,Partial
696,QURU,Quercus rubra,Red Oak,Before 1950,180,10,Shade
697,MA13,Malus spp.,Crab Apple,Before 1950,180,4,Partial
699,QUAL,Quercus alba,White Oak,1950-1980,360,15,Sun
711,CEOC,Celtis occidentalis,Northern Hackberry,1950-1980,90,15,Partial
737,QUAL,Quercus alba,White Oak,,270,21,Partial
736,PRSU,Prunus subhirtella,Weeping Cherry,1950-1980,270,10,Partial
735,QURU,Quercus rubra,Red Oak,1950-1980,270,10,Partial
734,QURU,Quercus rubra,Red Oak,1950-1980,270,10,Partial
698,COKO,Cornus kousa,Kousa Dogwood,1950-1980,360,4,Partial
700,PYCA,Pyrus calleryana,Callery Pear,Before 1950,180,4,Partial
702,MA15,Malus spp.,Crab Apple,Before 1950,90,4,Partial
782,QUIM,Quercus imbricaria,Shingle Oak,Before 1950,90,15,Partial
783,QUMA1,Quercus macrocarpa,Bur Oak,Before 1950,180,10,Partial
763,ACPA,Acer palmatum,Japanese Maple,Before 1950,180,4,Partial
789,QURU,Quercus rubra,Red Oak,Before 1950,180,15,Partial
788,QUMA2,Quercus macrocarpa,Bur Oak,Before 1950,180,10,Partial
762,MA21,Malus spp.,Crab Apple,Before 1950,180,4,Partial
761,MA20,Malus spp.,Crab Apple,Before 1950,180,4,Partial
785,QURU,Quercus rubra,Red Oak,,90,21,Partial
775,FAGR,Fagus grandifolia,American Beech,Before 1950,90,15,Partial
774,QUAL,Quercus alba,White Oak,1950-1980,360,15,Partial
772,QURU,Quercus rubra,Red Oak,1950-1980,360,10,Partial
777,QURU,Quercus rubra,Red Oak,,360,21,Partial
771,QURU,Quercus rubra,Red Oak,1950-1980,360,10,Partial
780,QURU,Quercus rubra,Red Oak,1950-1980,360,15,Partial
779,QUAL,Quercus alba,White Oak,,360,21,Partial
778,QUAL,Quercus alba,White Oak,,360,21,Partial
781,QURU,Quercus rubra,Red Oak,,360,21,Partial
776,QUAL,Quercus alba,White Oak,,90,21,Partial
786,QURU,Quercus rubra,Red Oak,,180,21,Partial
787,QURU,Quercus rubra,Red Oak,,180,21,Partial
790,FAGR,Fagus grandifolia,American Beech,Before 1950,180,15,Partial
760,QUAL,Quercus alba,White Oak,Before 1950,180,4,Partial
791,QUAL,Quercus alba,White Oak,Before 1950,180,15,Partial
792,QUPA,Quercus palustris,Pin Oak,,180,21,Partial
793,QURU,Quercus rubra,Red Oak,,360,21,Partial
796,QUAL,Quercus alba,White Oak,Before 1950,180,10,Partial
797,QUAL,Quercus alba,White Oak,Before 1950,180,10,Partial
795,QUAL,Quercus alba,White Oak,Before 1950,180,10,Partial
794,QURU,Quercus rubra,Red Oak,,180,21,Partial
813,QURU,Quercus rubra,Red Oak,,180,21,Partial
812,QURU,Quercus rubra,Red Oak,,180,21,Partial
993,QURU,Quercus rubra,Red Oak,,360,21,Partial
802,QURU,Quercus rubra,Red Oak,,360,21,Partial
801,QUMA3,Quercus macrocarpa,Bur Oak,1950-1980,360,10,Partial
764,MA22,Malus spp.,Crab Apple,1950-1980,360,4,Partial
765,MA23,Malus spp.,Crab Apple,1950-1980,360,4,Partial
766,MA24,Malus spp.,Crab Apple,1950-1980,360,4,Partial
767,MA25,Malus spp.,Crab Apple,1950-1980,360,4,Partial
809,QURU,Quercus rubra,Red Oak,1950-1980,360,10,Partial
810,QURU,Quercus rubra,Red Oak,1950-1980,360,15,Partial
718,QURU,Quercus rubra,Red Oak,,90,21,Partial
804,QUAL,Quercus alba,White Oak,,360,21,Partial
807,QURU,Quercus rubra,Red Oak,1950-1980,360,15,Partial
768,PYCA,Pyrus calleryana,Callery Pear,1950-1980,90,4,Sun
806,PYCA,Pyrus calleryana,Callery Pear,Before 1950,180,15,Sun
805,QURU,Quercus rubra,Red Oak,,180,21,Sun
816,QURU,Quercus rubra,Red Oak,,180,21,Partial
814,QURU,Quercus rubra,Red Oak,Before 1950,180,15,Partial
815,QURU,Quercus rubra,Red Oak,,270,21,Sun
820,PYCA,Pyrus calleryana,Callery Pear,Before 1950,270,4,Partial
817,MA26,Malus spp.,Crab Apple,Before 1950,180,4,Partial
992,PINI,Pinus nigra,Austrian Pine,,180,15,Partial
991,QUAL,Quercus alba,White Oak,,180,15,Partial
854,QUAL,Quercus alba,White Oak,Before 1950,360,4,Sun
846,QUPA,Quercus palustris,Pin Oak,Before 1950,90,15,Partial
845,QUIM,Quercus imbricaria,Shingle Oak,Before 1950,90,21,Sun
847,QUAL,Quercus alba,White Oak,Before 1950,90,15,Partial
844,QUAL,Quercus alba,White Oak,Before 1950,180,15,Partial
843,PSME,Pseudotsuga menziesii,Douglas-fir,Before 1950,180,10,Partial
851,PSME,Pseudotsuga menziesii,Douglas-fir,Before 1950,270,10,Partial
850,QUAL,Quercus alba,White Oak,Before 1950,180,15,Partial
849,QUAL,Quercus alba,White Oak,Before 1950,90,10,Sun
848,PRSE15,Prunus serotina,Black Cherry,Before 1950,90,4,Partial
803,QUAL,Quercus alba,White Oak,,360,21,Partial
308,QUAL,Quercus alba,White Oak,After 1980,270,15,Sun
307,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,270,10,Sun
306,CAOV,Carya ovata,Shagbark Hickory,Before 1950,270,10,Partial
305,QUAL,Quercus alba,White Oak,Before 1950,270,10,Partial
304,QUAL,Quercus alba,White Oak,Before 1950,270,4,Partial
303,QURU,Quercus rubra,Northern Red Oak,Before 1950,270,4,Partial
302,QUAL,Quercus alba,White Oak,Before 1950,270,4,Partial
301,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,270,4,Partial
300,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,270,4,Partial
299,QURU,Quercus rubra,Northern Red Oak,Before 1950,270,15,Partial
291,QURU,Quercus rubra,Northern Red Oak,,270,21,Partial
1148,CRDO,Crataegus douglasii,Black Hawthorne,1950-1980,90,4,Partial
288,CAOV,Carya ovata,Shagbark Hickory,Before 1950,270,15,Partial
292,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,270,15,Partial
285,QUAL,Quercus alba,White Oak,Before 1950,270,10,Partial
284,QUAL,Quercus alba,White Oak,Before 1950,270,10,Partial
286,QURU,Quercus rubra,Northern Red Oak,Before 1950,270,10,Partial
287,PIST,Pinus strobus,Eastern White Pine,Before 1950,270,10,Partial
294,QUAL,Quercus alba,White Oak,Before 1950,270,15,Partial
293,PINI,Pinus nigra,Austrian Pine,Before 1950,270,15,Partial
281,PINI,Pinus nigra,Austrian Pine,Before 1950,270,15,Partial
279,PIST,Pinus strobus,Eastern White Pine,Before 1950,270,10,Partial
283,CAOV,Carya ovata,Shagbark Hickory,Before 1950,270,4,Partial
282,QUAL,Quercus alba,White Oak,Before 1950,270,4,Partial
278,QUAL,Quercus alba,White Oak,Before 1950,270,15,Partial
276,CAOV,Carya ovata,Shagbark Hickory,Before 1950,270,15,Partial
269,ACPL,Acer platanoides,Norway Maple,Before 1950,270,15,Partial
270,PINI,Pinus nigra,Austrian Pine,Before 1950,270,15,Partial
277,ACPL,Acer platanoides,Norway Maple,Before 1950,270,15,Partial
271,QUAL,Quercus alba,White Oak,Before 1950,270,10,Partial
272,PIST,Pinus strobus,Eastern White Pine,Before 1950,270,10,Partial
273,PIST,Pinus strobus,Eastern White Pine,Before 1950,270,10,Partial
274,ACPL,Acer platanoides,Norway Maple,Before 1950,270,15,Partial
275,ACPL,Acer platanoides,Norway Maple,Before 1950,270,15,Partial
268,MOAL,Morus alba,White Mulberry,Before 1950,270,15,Partial
267,ACPL,Acer platanoides,Norway Maple,Before 1950,180,15,Partial
266,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,180,10,Partial
264,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,180,10,Partial
263,QUAL,Quercus alba,White Oak,Before 1950,180,10,Partial
265,QURU,Quercus rubra,Northern Red Oak,Before 1950,180,10,Partial
262,QUAL,Quercus alba,White Oak,Before 1950,180,10,Partial
261,QUAL,Quercus alba,White Oak,Before 1950,180,10,Partial
1184,MA48,Malus spp.,Crab Apple,,90,21,Sun
350,JUNI,Juglans nigra,Black Walnut,Before 1950,270,4,Partial
348,COFL,Cornus florida,Florida Dogwood,Before 1950,270,4,Partial
351,ULAM,Ulmus americana,American Elm,Before 1950,270,4,Partial
349,QUAL,Quercus alba,White Oak,Before 1950,270,4,Partial
259,QUAL,Quercus alba,White Oak,Before 1950,180,10,Partial
258,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,180,10,Partial
257,ACPL,Acer platanoides,Norway Maple,Before 1950,180,10,Partial
256,PRSE7,Prunus serotina,Black Cherry,Before 1950,180,10,Partial
255,QURU,Quercus rubra,Northern Red Oak,Before 1950,180,10,Partial
254,ACPL,Acer platanoides,Norway Maple,Before 1950,180,10,Partial
251,JUNI,Juglans nigra,Black Walnut,Before 1950,90,15,Partial
250,ROPS,Robinia pseudoacacia,Black Locust,,270,21,Partial
249,ULAM,Ulmus americana,American Elm,,90,21,Partial
248,TIPL,Tilia platyphyllos,Big Leaf Linden,,270,21,Partial
247,CAOV,Carya ovata,Shagbark Hickory,1950-1980,270,15,Partial
253,AEHI,Aesculus hippocastanum,Horse Chestnut,,90,21,Partial
252,JUNI,Juglans nigra,Black Walnut,Before 1950,90,15,Partial
244,QUAL,Quercus alba,White Oak,1950-1980,270,10,Sun
245,QUAL,Quercus alba,White Oak,1950-1980,270,10,Partial
246,QUAL,Quercus alba,White Oak,1950-1980,270,4,Partial
352,ACPL,Acer platanoides,Norway Maple,Before 1950,360,4,Partial
346,QUAL,Quercus alba,White Oak,Before 1950,360,4,Partial
345,QUAL,Quercus alba,White Oak,Before 1950,270,4,Partial
343,QUAL,Quercus alba,White Oak,Before 1950,90,4,Partial
