Tag_Number,Species_Co,Latin_Name,Species_1,Buil_Vinta,Azimuth,Dist_to_Bu,Sun
613,PINI,Pinus nigra,Austrian Pine,Before 1950,360,15,Partial
611,QUAL,Quercus alba,White Oak,,270,21,Partial
605,ACPL,Acer platanoides,Norway Maple,1950-1980,270,15,Partial
596,QUAL,Quercus alba,White Oak,1950-1980,270,15,Partial
604,CAOV,Carya ovata,Shagbark Hickory,1950-1980,270,15,Partial
603,ACPL,Acer platanoides,Norway Maple,1950-1980,270,15,Partial
595,QUAL,Quercus alba,White Oak,1950-1980,270,15,Partial
594,QURU,Quercus rubra,Red Oak,,270,21,Partial
593,ULAM,Ulmus americana,American Elm,,270,21,Partial
592,TIAM,Tilia americana,American Basswood,,270,21,Partial
587,QURU,Quercus rubra,Red Oak,,270,21,Partial
588,QURU,Quercus rubra,Red Oak,1950-1980,270,15,Partial
683,QUAL,Quercus alba,White Oak,1950-1980,270,10,Partial
680,PIST,Pinus strobus,Eastern White Pine,1950-1980,270,10,Partial
679,PIST,Pinus strobus,Eastern White Pine,1950-1980,270,4,Partial
681,PIST,Pinus strobus,Eastern White Pine,1950-1980,270,10,Partial
682,PIST,Pinus strobus,Eastern White Pine,1950-1980,270,10,Partial
677,TSCA,Tsuga canadensis,Eastern Hemlock,1950-1980,270,4,Partial
674,MA11,Malus spp.,Crab Apple,1950-1980,360,4,Partial
672,MOAL,Morus alba,White Mulberry,1950-1980,360,10,Partial
1255,MA52,Malus spp.,Crab Apple,1950-1980,270,4,Partial
1260,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
1262,MA55,Malus spp.,Crab Apple,,360,21,Partial
1263,JUNI,Juglans nigra,Black Walnut,,360,21,Partial
1264,MA56,Malus spp.,Crab Apple,,360,21,Partial
1280,JUNI,Juglans nigra,Black Walnut,1950-1980,90,10,Partial
1246,FAGR,Fagus grandifolia,American Beech,1950-1980,180,4,Partial
1245,GLTR,Gleditsia triacanthos,Honeylocust,1950-1980,180,4,Partial
1244,ACPL,Acer platanoides,Norway Maple,1950-1980,180,4,Partial
1243,ACPL,Acer platanoides,Norway Maple,1950-1980,270,10,Partial
1274,ACSA9,Acer saccharum,Sugar Maple,1950-1980,180,4,Partial
1273,ACSA8,Acer saccharum,Sugar Maple,1950-1980,180,4,Partial
1276,AIAL,Ailanthus altissima,Tree of Heaven,Before 1950,270,10,Sun
1275,JUNI,Juglans nigra,Black Walnut,,90,21,Partial
1287,PISY,Pinus sylvestris,Scotch Pine,1950-1980,90,10,Partial
1286,ACSA10,Acer saccharum,Sugar Maple,1950-1980,90,10,Partial
1284,ULAM,Ulmus americana,American Elm,1950-1980,90,10,Partial
1285,ULAM,Ulmus americana,American Elm,1950-1980,90,10,Partial
1283,QUAL,Quercus alba,White Oak,1950-1980,90,10,Partial
1282,JUNI,Juglans nigra,Black Walnut,1950-1980,90,15,Partial
1279,TIAM,Tilia americana,American Basswood,Before 1950,270,15,Partial
1266,CEOC,Celtis occidentalis,Northern Hackberry,,360,21,Partial
1267,ACPL,Acer platanoides,Norway Maple,Before 1950,90,10,Sun
1269,MA57,Malus spp.,Crab Apple,1950-1980,90,4,Partial
1268,TICO,Tilia cordata,Little Leaf Linden,1950-1980,90,10,Partial
1270,MA58,Malus spp.,Crab Apple,1950-1980,90,4,Partial
1271,MA59,Malus spp.,Crab Apple,1950-1980,90,4,Partial
1272,PSME,Pseudotsuga menziesii,Douglas-fir,1950-1980,90,4,Sun
1300,PRSE18,Prunus serotina,Black Cherry,After 1980,90,4,Partial
1297,BENI,Betula nigra,River birch,,90,21,Partial
1296,ACRU,Acer rubrum,Red Maple,After 1980,180,4,Sun
1337,BENI,Betula nigra,River birch,After 1980,360,10,Partial
1336,BENI,Betula nigra,River birch,After 1980,360,15,Partial
1334,ABFR,Abies fraseri,Fraser Fir,,360,21,Partial
1333,ABFR,Abies fraseri,Fraser Fir,,360,21,Partial
1332,ABFR,Abies fraseri,Fraser Fir,,360,21,Partial
1331,ABFR,Abies fraseri,Fraser Fir,,360,21,Partial
1330,ABFR,Abies fraseri,Fraser Fir,,360,21,Partial
1329,ABFR,Abies fraseri,Fraser Fir,,360,21,Partial
1328,ABFR,Abies fraseri,Fraser Fir,,90,21,Sun
1293,,,,,,,
1323,ROPS,Robinia pseudoacacia,Black Locust,,90,21,Partial
1326,ABFR,Abies fraseri,Fraser Fir,,90,21,Partial
1322,ROPS,Robinia pseudoacacia,Black Locust,,90,21,Partial
1321,ROPS,Robinia pseudoacacia,Black Locust,,90,21,Partial
1324,ABFR,Abies fraseri,Fraser Fir,,90,21,Partial
1320,ROPS,Robinia pseudoacacia,Black Locust,,90,21,Partial
1319,ABFR,Abies fraseri,Fraser Fir,,90,21,Partial
1317,BENI,Betula nigra,River birch,,360,21,Partial
1316,BENI,Betula nigra,River birch,,360,21,Partial
1314,ACGR,Acer griseum,Paperbark Maple,,360,21,Partial
1313,ACGR,Acer griseum,Paperbark Maple,,360,21,Sun
1312,ACGR,Acer griseum,Paperbark Maple,,360,21,Sun
1311,ACGR,Acer griseum,Paperbark Maple,,360,21,Sun
1341,PIST,Pinus strobus,Eastern White Pine,After 1980,270,4,Partial
1342,PIST,Pinus strobus,Eastern White Pine,After 1980,270,4,Partial
1343,PIST,Pinus strobus,Eastern White Pine,After 1980,270,4,Partial
1345,ACPL,Acer platanoides,Norway Maple,After 1980,270,10,Sun
836,PYCA,Pyrus calleryana,Callery Pear,,360,21,Partial
835,PYCA,Pyrus calleryana,Callery Pear,,360,21,Partial
834,PYCA,Pyrus calleryana,Callery Pear,After 1980,360,10,Partial
832,PSME,Pseudotsuga menziesii,Douglas-fir,After 1980,360,4,Partial
831,PIST,Pinus strobus,Eastern White Pine,After 1980,360,4,Partial
830,PIST,Pinus strobus,Eastern White Pine,After 1980,360,4,Partial
829,PIST,Pinus strobus,Eastern White Pine,After 1980,360,4,Partial
828,PIAB,Picea abies,Norway Spruce,After 1980,360,4,Partial
827,CECA,Cercis canadensis,Eastern Redbud,After 1980,360,4,Partial
825,PYCA,Pyrus calleryana,Callery Pear,Before 1950,360,15,Sun
823,LITU,Liriodendron tulipifera,Tuliptree,Before 1950,360,10,Sun
822,QUMA4,Quercus macrocarpa,Bur Oak,Before 1950,360,15,Sun
755,MA19,Malus spp.,Crab Apple,Before 1950,360,10,Sun
754,QUAL,Quercus alba,White Oak,Before 1950,360,10,Sun
750,QUAL,Quercus alba,White Oak,Before 1950,90,10,Partial
749,QUAL,Quercus alba,White Oak,Before 1950,90,10,Partial
747,MA17,Malus spp.,Crab Apple,Before 1950,90,4,Partial
746,MA16,Malus spp.,Crab Apple,Before 1950,90,4,Partial
744,CECA,Cercis canadensis,Eastern Redbud,Before 1950,90,4,Partial
745,CECA,Cercis canadensis,Eastern Redbud,Before 1950,90,4,Partial
743,PIGL1,Picea glauca,White Spruce,Before 1950,90,4,Partial
742,CECA,Cercis canadensis,Eastern Redbud,Before 1950,90,4,Partial
741,CECA,Cercis canadensis,Eastern Redbud,Before 1950,90,4,Partial
740,CECA,Cercis canadensis,Eastern Redbud,1950-1980,360,4,Partial
739,COFL,Cornus Florida,Florida dogwood,1950-1980,360,4,Shade
752,FAGR,Fagus grandifolia,American Beech,Before 1950,360,10,Partial
751,QUAL,Quercus alba,White Oak,Before 1950,360,15,Partial
753,QUAL,Quercus alba,White Oak,,360,21,Partial
2,QUAL,Quercus alba,White Oak,,180,21,Partial
4,ACPL,Acer platanoides,Norway Maple,,180,21,Partial
6,ACPL,Acer platanoides,Norway Maple,,180,21,Partial
7,ULAM,Ulmus americana,American Elm,After 1980,180,15,Partial
10,ULAM,Ulmus americana,American Elm,After 1980,180,15,Partial
9,QURU,Quercus rubra,Northern Red Oak,After 1980,180,15,Partial
8,QURU,Quercus rubra,Northern Red Oak,After 1980,180,15,Partial
21,CAGL,Carya glabra,Pignut Hickory,After 1980,180,15,Partial
20,QURU,Quercus rubra,Northern Red Oak,Before 1950,90,15,Partial
13,ULAM,Ulmus americana,American Elm,After 1980,180,15,Partial
11,CASP,Catalpa speciosa,Northern Catalpa,After 1980,180,15,Partial
12,ULAM,Ulmus americana,American Elm,After 1980,180,15,Partial
14,CEOC,Celtis occidentalis,Northern Hackberry,After 1980,180,15,Partial
19,QUAL,Quercus alba,White Oak,Before 1950,90,15,Partial
16,ACPL,Acer platanoides,Norway Maple,After 1980,180,15,Partial
17,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
322,ACPL,Acer platanoides,Norway Maple,Before 1950,90,4,Partial
324,ACPL,Acer platanoides,Norway Maple,Before 1950,90,4,Partial
323,ACPL,Acer platanoides,Norway Maple,Before 1950,90,4,Partial
325,ACPL,Acer platanoides,Norway Maple,Before 1950,90,10,Partial
18,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
40,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
41,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
68,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
67,JUNI,Juglans nigra,Black Walnut,Before 1950,90,15,Partial
66,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Shade
69,,,,,,,
65,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,90,15,Partial
64,TIAM,Tilia americana,American Basswood,,90,21,Shade
70,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
327,PIST,Pinus strobus,Eastern White Pine,Before 1950,90,4,Partial
328,ACPL,Acer platanoides,Norway Maple,Before 1950,90,4,Partial
72,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
97,ULAM,Ulmus americana,American Elm,,90,21,Partial
63,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
62,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
61,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
60,ULAM,Ulmus americana,American Elm,,90,21,Partial
59,TIAM,Tilia americana,American Basswood,,90,21,Shade
48,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
49,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
47,PRSE1,Prunus serotina,Black Cherry,,90,21,Partial
35,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
27,JUNI,Juglans nigra,Black Walnut,,90,21,Partial
25,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
24,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
22,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
26,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
56,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
57,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
78,ULAM,Ulmus americana,American Elm,,90,21,Partial
79,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
77,CEOC,Celtis occidentalis,Northern Hackberry,,90,21,Shade
76,ACNE,Acer negundo,Boxelder,,90,21,Partial
75,COFL,Cornus florida,Florida Dogwood,,90,21,Partial
96,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
95,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
99,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
98,ULAM,Ulmus americana,American Elm,Before 1950,90,15,Partial
329,ACPL,Acer platanoides,Norway Maple,Before 1950,90,4,Partial
101,ULAM,Ulmus americana,American Elm,Before 1950,90,15,Partial
102,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
100,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
103,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
110,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
109,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
108,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
107,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
105,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
104,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
332,ACPL,Acer platanoides,Norway Maple,Before 1950,90,4,Partial
295,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,180,4,Partial
331,MOAL,Morus alba,White Mulberry,Before 1950,180,10,Partial
330,PIST,Pinus strobus,Eastern White Pine,Before 1950,90,4,Partial
125,ULPA,Ulmus pumila,Siberian Elm,Before 1950,90,15,Partial
334,PIST,Pinus strobus,Eastern White Pine,Before 1950,360,4,Partial
127,ACPL,Acer platanoides,Norway Maple,Before 1950,90,15,Partial
126,TIAM,Tilia americana,American Basswood,Before 1950,90,15,Partial
137,QUAL,Quercus alba,White Oak,,360,21,Partial
136,ULAM,Ulmus americana,American Elm,,360,21,Partial
138,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
139,JUNI,Juglans nigra,Black Walnut,Before 1950,360,15,Partial
140,ACPL,Acer platanoides,Norway Maple,Before 1950,360,15,Partial
141,ACPL,Acer platanoides,Norway Maple,Before 1950,360,15,Partial
142,PRSE4,Prunus serotina,Black Cherry,Before 1950,360,15,Partial
143,ULAM,Ulmus americana,American Elm,,360,21,Partial
144,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
154,TIAM,Tilia americana,American Basswood,,360,21,Partial
153,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
155,ULAM,Ulmus americana,American Elm,,360,21,Partial
156,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
159,ACPL,Acer platanoides,Norway Maple,Before 1950,360,15,Partial
160,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
161,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
166,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
165,ACPL,Acer platanoides,Norway Maple,Before 1950,360,15,Partial
164,ROPS,Robinia pseudoacacia,Black Locust,Before 1950,360,15,Partial
162,TIAM,Tilia americana,American Basswood,Before 1950,360,15,Partial
163,TIAM,Tilia americana,American Basswood,Before 1950,360,15,Partial
168,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
171,ULPA,Ulmus pumila,Siberian Elm,,360,21,Shade
170,TIAM,Tilia americana,American Basswood,,360,21,Partial
169,JUNI,Juglans nigra,Black Walnut,,360,21,Partial
175,CEOC,Celtis occidentalis,Northern Hackberry,,360,21,Partial
1335,BENI,Betula nigra,River birch,,360,21,Partial
205,TIAM,Tilia americana,American Basswood,,360,21,Partial
202,CEOC,Celtis occidentalis,Northern Hackberry,,360,21,Partial
238,ACPL,Acer platanoides,Norway Maple,,180,21,Partial
201,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
237,CEOC,Celtis occidentalis,Northern Hackberry,,180,21,Partial
239,ACPL,Acer platanoides,Norway Maple,,180,21,Partial
240,MOAL,Morus alba,White Mulberry,,180,21,Partial
241,ULAM,Ulmus americana,American Elm,,180,21,Partial
242,ULAM,Ulmus americana,American Elm,,180,21,Partial
243,ULAM,Ulmus americana,American Elm,,180,21,Partial
81,ROPS,Robinia pseudoacacia,Black Locust,,90,21,Partial
82,ACNE,Acer negundo,Boxelder,,90,21,Partial
83,ACNE,Acer negundo,Boxelder,,90,21,Partial
84,ACNE,Acer negundo,Boxelder,,90,21,Partial
85,ROPS,Robinia pseudoacacia,Black Locust,,90,21,Partial
86,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
88,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
87,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
91,QUAL,Quercus alba,White Oak,,90,21,Partial
92,ACNE,Acer negundo,Boxelder,,90,21,Partial
58,CAGL,Carya glabra,Pignut Hickory,,90,21,Partial
44,JUNI,Juglans nigra,Black Walnut,,90,21,Partial
15,CAGL,Carya glabra,Pignut Hickory,After 1980,180,15,Partial
39,ULAM,Ulmus americana,American Elm,,90,21,Partial
43,TIAM,Tilia americana,American Basswood,Before 1950,90,15,Shade
37,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
36,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
38,ULAM,Ulmus americana,American Elm,,90,21,Partial
46,ACNE,Acer negundo,Boxelder,,90,21,Partial
45,TIAM,Tilia americana,American Basswood,,90,21,Partial
177,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
198,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
197,MOAL,Morus alba,White Mulberry,,360,21,Partial
172,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
191,JUNI,Juglans nigra,Black Walnut,,360,21,Partial
115,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
116,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
117,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
118,ACPL,Acer platanoides,Norway Maple,,90,21,Shade
119,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
120,PRSE2,Prunus serotina,Black Cherry,,90,21,Partial
122,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
123,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
128,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
129,ULAM,Ulmus americana,American Elm,,90,21,Partial
133,QUAL,Quercus alba,White Oak,,90,21,Partial
130,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
131,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
132,ACPL,Acer platanoides,Norway Maple,,90,21,Partial
152,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
320,BENI,Betula nigra,River birch,After 1980,90,10,Partial
319,BENI,Betula nigra,River birch,After 1980,90,10,Partial
318,BENI,Betula nigra,River birch,After 1980,90,10,Partial
509,PRSE10,Prunus serotina,Black Cherry,Before 1950,270,15,Partial
508,QURU,Quercus rubra,Red Oak,Before 1950,270,15,Partial
507,QURU,Quercus rubra,Red Oak,Before 1950,270,15,Partial
506,QURU,Quercus rubra,Red Oak,Before 1950,270,15,Partial
505,QURU,Quercus rubra,Red Oak,Before 1950,270,15,Partial
504,QURU,Quercus rubra,Red Oak,Before 1950,270,10,Partial
503,QUAL,Quercus alba,White Oak,Before 1950,270,10,Partial
502,QUAL,Quercus alba,White Oak,Before 1950,270,10,Partial
501,PSME,Pseudotsuga menziesii,Douglas-fir,Before 1950,270,10,Partial
513,QURU,Quercus rubra,Red Oak,Before 1950,270,10,Partial
512,QURU,Quercus rubra,Red Oak,Before 1950,270,10,Partial
510,QURU,Quercus rubra,Red Oak,Before 1950,270,10,Partial
511,QUAL,Quercus alba,White Oak,Before 1950,270,15,Partial
514,QURU,Quercus rubra,Red Oak,Before 1950,270,10,Partial
515,QURU,Quercus rubra,Red Oak,Before 1950,270,10,Partial
516,CAOV,Carya ovata,Shagbark Hickory,Before 1950,360,15,Partial
517,CAOV,Carya ovata,Shagbark Hickory,Before 1950,360,15,Partial
518,CAOV,Carya ovata,Shagbark Hickory,Before 1950,360,15,Partial
579,QUAL,Quercus alba,White Oak,Before 1950,360,15,Partial
578,QUAL,Quercus alba,White Oak,Before 1950,360,15,Partial
575,QUAL,Quercus alba,White Oak,Before 1950,360,10,Partial
573,QUAL,Quercus alba,White Oak,Before 1950,360,10,Partial
580,PRSE12,Prunus serotina,Black Cherry,Before 1950,360,15,Partial
519,CAOV,Carya ovata,Shagbark Hickory,Before 1950,360,15,Partial
520,PRSE11,Prunus serotina,Black Cherry,Before 1950,360,15,Partial
521,CAOV,Carya ovata,Shagbark Hickory,,360,21,Partial
522,CAOV,Carya ovata,Shagbark Hickory,,360,21,Partial
525,FAGR,Fagus grandifolia,American Beech,,360,21,Partial
577,QUAL,Quercus alba,White Oak,,360,21,Partial
576,CAOV,Carya ovata,Shagbark Hickory,,360,21,Partial
574,QUAL,Quercus alba,White Oak,,360,21,Partial
572,QUAL,Quercus alba,White Oak,Before 1950,360,15,Partial
571,QUAL,Quercus alba,White Oak,Before 1950,360,15,Partial
570,QUAL,Quercus alba,White Oak,Before 1950,360,15,Partial
568,QUAL,Quercus alba,White Oak,,360,21,Partial
567,PSME,Pseudotsuga menziesii,Douglas-fir,,360,21,Partial
566,QUAL,Quercus alba,White Oak,,360,21,Partial
560,QUAL,Quercus alba,White Oak,,360,21,Partial
559,QUAL,Quercus alba,White Oak,,360,21,Partial
558,JUNI,Juglans nigra,Black Walnut,,360,21,Partial
557,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
564,TIAM,Tilia americana,American Basswood,,360,21,Partial
561,QURU,Quercus rubra,Red Oak,,360,21,Partial
562,QUAL,Quercus alba,White Oak,,360,21,Partial
554,QURU,Quercus rubra,Red Oak,,360,21,Partial
555,ACPL,Acer platanoides,Norway Maple,,360,21,Partial
556,QUAL,Quercus alba,White Oak,,360,21,Partial
551,TIAM,Tilia americana,American Basswood,,360,21,Partial
548,CAOV,Carya ovata,Shagbark Hickory,,360,21,Partial
553,TIAM,Tilia americana,American Basswood,,360,21,Partial
552,QURU,Quercus rubra,Red Oak,,360,21,Partial
547,TIAM,Tilia americana,American Basswood,,360,21,Partial
1183,PLOC,Platanus occidentalis,American Sycamore,,270,21,Partial
1238,MALI,Magnolia liliiflora,Lily Magnolia,,90,21,Partial
1239,MALI,Magnolia liliiflora,Lily Magnolia,,90,21,Partial
1182,PLOC,Platanus occidentalis,American Sycamore,,270,21,Partial
1180,PLOC,Platanus occidentalis,American Sycamore,,270,21,Partial
1179,PLOC,Platanus occidentalis,American Sycamore,,270,21,Partial
1178,PLOC,Platanus occidentalis,American Sycamore,,270,21,Partial
1177,PLOC,Platanus occidentalis,American Sycamore,,270,21,Partial
1256,MA53,Malus spp.,Crab Apple,,360,21,Partial
1251,PLOC,Platanus occidentalis,American Sycamore,1950-1980,270,15,Partial
1250,PLOC,Platanus occidentalis,American Sycamore,1950-1980,270,15,Sun
1249,PLOC,Platanus occidentalis,American Sycamore,1950-1980,270,15,Partial
1248,PIAB,Picea abies,Norway Spruce,1950-1980,180,15,Partial
1242,ACPL,Acer platanoides,Norway Maple,,180,21,Partial
1289,ACPL,Acer platanoides,Norway Maple,,90,21,Sun
1290,ACPL,Acer platanoides,Norway Maple,,90,21,Sun
1292,TICO,Tilia cordata,Little Leaf Linden,After 1980,360,15,Partial
